7zip	25.01+dfsg-1~deb13u1
libopencv-objdetect410	4.10.0+dfsg-5
libopenexr-3-1-30	3.1.13-2
libopenfec1	1.4.2.11+dfsg-1
libopengl-dev	1.7.0-1+b2
libopengl0	1.7.0-1+b2
libopenh264-8	2.6.0+dfsg-2
libopenjp2-7	2.5.3-2.1~deb13u1
libopenmpt-modplug1	0.8.9.0-openmpt1-2+b3
libopenmpt0t64	0.7.13-1+b1
libopenni2-0	2.2.0.33+dfsg-18+b2
libopus0	1.5.2-2
libopusfile0	0.12-4+b3
liborc-0.4-0t64	1:0.4.41-1
libossp-uuid16	1.6.4-1
libp11-kit0	0.25.5-3
libpackagekit-glib2-18	1.3.1-1
libpam-chksshpwd	2.0
libpam-modules	1.7.0-5
libpam-modules-bin	1.7.0-5
libpam-runtime	1.7.0-5
libpam-systemd	257.9-1~deb13u1
libpam0g	1.7.0-5
libpango-1.0-0	1.56.3-1
libpangocairo-1.0-0	1.56.3-1
libpangoft2-1.0-0	1.56.3-1
libpangomm-1.4-1v5	2.46.4-1+b2
libpangoxft-1.0-0	1.56.3-1
libpaper-utils	2.2.5-0.3+b2
libpaper2	2.2.5-0.3+b2
libparted2t64	3.6-5
libpcap0.8t64	1.10.5-2
libpci3	1:3.13.0-2
libpciaccess0	0.17-3+b3
libpcre2-16-0	10.46-1~deb13u1
libpcre2-8-0	10.46-1~deb13u1
libpcsclite1	2.3.3-1
libpeas-1.0-0	1.36.0-3+b4
libpeas-common	1.36.0-3
libperl5.40	5.40.1-6
libpgm-5.3-0t64	5.3.128~dfsg-2.1+b1
libpipeline1	1.5.8-1
libpipewire-0.3-0t64	1.4.2-1+rpt2
libpipewire-0.3-modules	1.4.2-1+rpt2
libpisp-common	1.3.0-1
libpisp1	1.3.0-1
libpixman-1-0	0.44.0-3+rpt1+b1
libpkgconf3	1.8.1-4
libplacebo349	7.349.0-3
libplist-2.0-4	2.6.0-2+b1
libplymouth5	24.004.60-5
libpmem1	1.13.1-1.1+b1
libpng16-16t64	1.6.48-1+deb13u1
libpocketsphinx3	0.8+5prealpha+1-15+b4
libpolkit-agent-1-0	126-2
libpolkit-gobject-1-0	126-2
libpoppler-cpp2	25.03.0-5+deb13u2
libpoppler-glib8t64	25.03.0-5+deb13u2
libpoppler147	25.03.0-5+deb13u2
libpopt0	1.19+dfsg-2
libportmidi0	1:217-6.1+b4
libpostproc58	8:7.1.3-0+deb13u1+rpt1
libproc2-0	2:4.0.4-9
libprotobuf-lite32t64	3.21.12-11
libprotobuf32t64	3.21.12-11
libproxy-tools	0.5.9-1
libproxy1v5	0.5.9-1
libpsl5t64	0.21.2-1.1+b1
libpthreadpool0	0.0~git20240616.560c60d-1
libpugixml1v5	1.14-2
libpulse0	17.0+dfsg1-2+rpt1
libpython3-dev	3.13.5-1
libpython3-stdlib	3.13.5-1
libpython3.13	3.13.5-2
libpython3.13-dev	3.13.5-2
libpython3.13-minimal	3.13.5-2
libpython3.13-stdlib	3.13.5-2
libqmi-glib5	1.36.0-1
libqmi-proxy	1.36.0-1
libqmi-utils	1.36.0-1
libqpdf30	12.2.0-1
libqrencode4	4.1.1-2
libqrtr-glib0	1.2.2-1+b2
libqt5core5t64	5.15.15+dfsg-6
libqt5ct-common1.8	1.8-2+b1
libqt5dbus5t64	5.15.15+dfsg-6
libqt5designer5	5.15.15-6
libqt5gui5t64	5.15.15+dfsg-6
libqt5help5	5.15.15-6
libqt5network5t64	5.15.15+dfsg-6
libqt5printsupport5t64	5.15.15+dfsg-6
libqt5qml5	5.15.15+dfsg-3
libqt5qmlmodels5	5.15.15+dfsg-3
libqt5quick5	5.15.15+dfsg-3
libqt5sql5-sqlite	5.15.15+dfsg-6
libqt5sql5t64	5.15.15+dfsg-6
libqt5svg5	5.15.15-2
libqt5test5t64	5.15.15+dfsg-6
libqt5waylandclient5	5.15.15-3
libqt5waylandcompositor5	5.15.15-3
libqt5widgets5t64	5.15.15+dfsg-6
libqt5x11extras5	5.15.15-2
libqt5xml5t64	5.15.15+dfsg-6
libqt6core6t64	6.8.2+dfsg-9+deb13u1
libqt6dbus6	6.8.2+dfsg-9+deb13u1
libqt6gui6	6.8.2+dfsg-9+deb13u1
libqt6opengl6	6.8.2+dfsg-9+deb13u1
libqt6openglwidgets6	6.8.2+dfsg-9+deb13u1
libqt6svg6	6.8.2-3
libqt6widgets6	6.8.2+dfsg-9+deb13u1
librabbitmq4	0.15.0-1
librados2	18.2.7+ds-1
libraptor2-0	2.0.16-6
libraqm0	0.10.2-1
librav1e0.7	0.7.1-9+b2
libraw1394-11	2.1.2-2+b2
libraw23t64	0.21.4-2
librbd1	18.2.7+ds-1
librdmacm1t64	56.1-1
libre2-11	20240702-3+b1
libreadline8t64	8.2-6
libresid-builder0c2a	2.1.1-16
librist4	0.2.11+dfsg-1
libroc0.4	0.4.0+dfsg-5
librpicam-app1	1.10.1-1
librsvg2-2	2.60.0+dfsg-1
librsvg2-common	2.60.0+dfsg-1
librtimulib-dev	7.2.1-7
librtimulib-utils	7.2.1-7
librtimulib7	7.2.1-7
librtmp1	2.4+20151223.gitfa8646d.1-2+b5
librubberband2	3.3.0+dfsg-2+b3
libsamplerate0	0.2.2-4+b2
libsane-common	1.3.1-3
libsane-hpaio	3.22.10+dfsg0-8.1
libsane1	1.3.1-3+b1
libsasl2-2	2.1.28+dfsg1-9
libsasl2-modules	2.1.28+dfsg1-9
libsasl2-modules-db	2.1.28+dfsg1-9
libsbc1	2.1-1
libsdl2-2.0-0	2.32.4+dfsg-1
libsdl2-image-2.0-0	2.8.8+dfsg-1
libsdl2-mixer-2.0-0	2.8.1+dfsg-2
libsdl2-ttf-2.0-0	2.24.0+dfsg-2
libseat1	0.9.1-1
libseccomp2	2.6.0-2
libsecret-1-0	0.21.7-1
libsecret-common	0.21.7-1
libselinux1	3.8.1-1
libsemanage-common	3.8.1-1
libsemanage2	3.8.1-1
libsensors-config	1:3.6.2-2
libsensors5	1:3.6.2-2
libsepol2	3.8.1-1
libserd-0-0	0.32.4-1
libsfdo0	0.1.3-1+b1
libsframe1	2.44-3
libsharpyuv0	1.5.0-0.1
libshine3	3.1.1-2+b2
libshout3	2.4.6-1+b3
libsidplay2	2.1.1-16
libsigc++-2.0-0v5	2.12.1-3
libslang2	2.3.3-5+b2
libsm-dev	2:1.2.6-1
libsm6	2:1.2.6-1
libsmartcols1	2.41-5
libsmbclient0	2:4.22.6+dfsg-0+deb13u1
libsnappy1v5	1.2.2-1
libsndfile1	1.2.2-2+b1
libsnmp-base	5.9.4+dfsg-2+deb13u1
libsnmp40t64	5.9.4+dfsg-2+deb13u1
libsodium23	1.0.18-1+deb13u1
libsord-0-0	0.16.18-1
libsoundtouch1	2.4.0+ds-1
libsoup-2.4-1	2.74.3-10.1
libsoup-3.0-0	3.6.5-3
libsoup-3.0-common	3.6.5-3
libsoup2.4-common	2.74.3-10.1
libsource-highlight-common	3.1.9-4.3
libsource-highlight4t64	3.1.9-4.3+b1
libsoxr0	0.1.3-4+b2
libspa-0.2-bluetooth	1.4.2-1+rpt2
libspa-0.2-libcamera	1.4.2-1+rpt2
libspa-0.2-modules	1.4.2-1+rpt2
libspandsp2t64	0.0.6+dfsg-2.2
libspatialaudio0t64	0.3.0+git20180730+dfsg1-2.1+b1
libspectre1	0.2.12-1+b2
libspeex1	1.2.1-3
libspeexdsp1	1.2.1-3
libsphinxbase3t64	0.8+5prealpha+1-21+b1
libsqlite3-0	3.46.1-7
libsratom-0-0	0.6.18-1
libsrt1.5-gnutls	1.5.4-1
libsrtp2-1	2.7.0-3
libss2	1.47.2-3+b7
libssh-4	0.11.2-1+deb13u1
libssh2-1t64	1.11.1-1
libssl3t64	3.5.4-1~deb13u2+rpt1
libstartup-notification0	0.12-8
libstdc++-14-dev	14.2.0-19
libstdc++6	14.2.0-19
libstemmer0d	2.2.0-4+b2
libsvtav1enc2	2.3.0+dfsg-1
libswresample5	8:7.1.3-0+deb13u1+rpt1
libswscale8	8:7.1.3-0+deb13u1+rpt1
libsynctex2	2024.20240313.70630+ds-6
libsystemd-shared	257.9-1~deb13u1
libsystemd0	257.9-1~deb13u1
libtag2	2.0.2-2
libtalloc2	2:2.4.3+samba4.22.6+dfsg-0+deb13u1
libtasn1-6	4.20.0-2
libtbb12	2022.1.0-1+deb13u1
libtbbbind-2-5	2022.1.0-1+deb13u1
libtbbmalloc2	2022.1.0-1+deb13u1
libtcl8.6	8.6.16+dfsg-1
libtdb1	2:1.4.13+samba4.22.6+dfsg-0+deb13u1
libteamdctl0	1.31-1+b2
libtevent0t64	2:0.16.2+samba4.22.6+dfsg-0+deb13u1
libtext-charwidth-perl	0.04-11+b4
libtext-iconv-perl	1.7-8+b4
libtext-wrapi18n-perl	0.06-10
libthai-data	0.1.29-2
libthai0	0.1.29-2+b1
libtheora0	1.2.0~alpha1+dfsg-6
libtheoradec1	1.2.0~alpha1+dfsg-6
libtheoraenc1	1.2.0~alpha1+dfsg-6
libtiff6	4.7.0-3+deb13u1
libtinfo6	6.5+20250216-2
libtirpc-common	1.3.6+ds-1
libtirpc3t64	1.3.6+ds-1
libtk8.6	8.6.16-1
libts0t64	1.22-1.1+b1
libtsan2	14.2.0-19
libturbojpeg0	1:2.1.5-4
libtwolame0	0.4.0-2+b2
libubsan1	14.2.0-19
libuchardet0	0.0.8-1+b2
libudev1	257.9-1~deb13u1
libudfread0	1.1.2-1+b2
libudisks2-0	2.10.1-12.1+deb13u1
libunibreak6	6.1-3
libunistring5	1.3-2
libunistring5	1.3-2
libunwind8	1.8.1-0.1
libupnp17t64	1:1.14.20-1
libupower-glib3	1.90.9-1
libusageenvironment3	2025.05.24-1
libusb-1.0-0	2:1.0.28-1
libusbmuxd-2.0-7	2.1.0-1+b1
libuuid1	2.41-5
libuv1t64	1.50.0-2
libv4l-0t64	1.30.1-1
libv4l2rds0t64	1.30.1-1
libv4lconvert0t64	1.30.1-1
libva-drm2	2.22.0-3
libva-x11-2	2.22.0-3
libva2	2.22.0-3
libvdpau-va-gl1	0.4.2-2
libvdpau1	1.5-3+b1
libvidstab1.1	1.1.0-2+b2
libvisual-0.4-0	0.4.2-2+b2
libvlc-bin	1:3.0.23-0+deb13u1+rpt1
libvlc5	1:3.0.23-0+deb13u1+rpt1
libvlccore9	1:3.0.23-0+deb13u1+rpt1
libvncclient1	0.9.15+dfsg-1
libvo-aacenc0	0.1.3-3
libvo-amrwbenc0	0.1.3-2+b2
libvolume-key1	0.3.12-9
libvorbis0a	1.3.7-3
libvorbisenc2	1.3.7-3
libvorbisfile3	1.3.7-3
libvpx9	1.15.0-2.1
libvte-2.91-0	0.80.1-1
libvte-2.91-common	0.80.1-1
libvulkan1	1.4.309.0-1
libwacom-common	2.14.0-1
libwacom9	2.14.0-1
libwavpack1	5.8.1-1
libwayland-client0	1.23.1-3+rpt1+b1
libwayland-cursor0	1.23.1-3+rpt1+b1
libwayland-egl1	1.23.1-3+rpt1+b1
libwayland-server0	1.23.1-3+rpt1+b1
libwbclient0	2:4.22.6+dfsg-0+deb13u1
libwebp7	1.5.0-0.1
libwebpdemux2	1.5.0-0.1
libwebpmux3	1.5.0-0.1
libwebrtc-audio-processing-1-3	1.3-3+b1
libwidevinecdm0	4.10.2662.3+1
libwildmidi2	0.4.3-1+b3
libwireplumber-0.5-0	0.5.8-2
libwlroots-0.19	0.19.1-1+rpt2
libwmflite-0.2-7	0.2.13-1.1+b3
libwrap0	7.6.q-36
libwtmpdb0	0.73.0-3+deb13u1
libx11-6	2:1.8.12-1
libx11-data	2:1.8.12-1
libx11-dev	2:1.8.12-1
libx11-xcb1	2:1.8.12-1
libx264-164	2:0.164.3108+git31e19f9-2+b1
libx265-215	4.1-2
libxau-dev	1:1.0.11-1
libxau6	1:1.0.11-1
libxaw7	2:1.0.16-1
libxcb-composite0	1.17.0-2+b1
libxcb-cursor0	0.1.5-1
libxcb-dri3-0	1.17.0-2+b1
libxcb-errors0	1.0.1-4
libxcb-ewmh2	0.4.2-1
libxcb-glx0	1.17.0-2+b1
libxcb-icccm4	0.4.2-1
libxcb-image0	0.4.0-2+b2
libxcb-keysyms1	0.4.1-1
libxcb-present0	1.17.0-2+b1
libxcb-randr0	1.17.0-2+b1
libxcb-render-util0	0.3.10-1
libxcb-render0	1.17.0-2+b1
libxcb-res0	1.17.0-2+b1
libxcb-shape0	1.17.0-2+b1
libxcb-shm0	1.17.0-2+b1
libxcb-sync1	1.17.0-2+b1
libxcb-util1	0.4.1-1
libxcb-xfixes0	1.17.0-2+b1
libxcb-xinerama0	1.17.0-2+b1
libxcb-xinput0	1.17.0-2+b1
libxcb-xkb1	1.17.0-2+b1
libxcb-xv0	1.17.0-2+b1
libxcb1	1.17.0-2+b1
libxcb1-dev	1.17.0-2+b1
libxcomposite1	1:0.4.6-1
libxcursor1	1:1.2.3-1
libxcvt0	0.1.3-1
libxdamage1	1:1.1.6-1+b2
libxdmcp-dev	1:1.1.5-1
libxdmcp6	1:1.1.5-1
libxext-dev	2:1.3.4-1+b3
libxext6	2:1.3.4-1+b3
libxfce4ui-2-0	4.20.1-1
libxfce4ui-common	4.20.1-1
libxfce4util-bin	4.20.1-1
libxfce4util-common	4.20.1-1
libxfce4util7	4.20.1-1
libxfconf-0-3	4.20.0-1
libxfixes3	1:6.0.0-2+b4
libxfont2	1:2.0.6-1+b3
libxft2	2.3.6-1+b4
libxi6	2:1.8.2-1
libxinerama1	2:1.1.4-3+b4
libxkbcommon-x11-0	1.7.0-2
libxkbcommon0	1.7.0-2
libxkbfile1	1:1.1.0-1+b4
libxkbregistry0	1.7.0-2
libxklavier16	5.4-5+b2
libxml++2.6-2v5	2.42.3-2
libxml2	2.12.7+dfsg+really2.9.14-2.1+deb13u2
libxmlb2	0.3.22-1
libxmp4	4.6.2-2
libxmu6	2:1.1.3-3+b4
libxmuu1	2:1.1.3-3+b4
libxnnpack0.20241108	0.0~git20241108.4ea82e5-2
libxnvctrl0	535.171.04-1+b2
libxpm4	1:3.5.17-1+b3
libxrandr2	2:1.5.4-1+b3
libxrender1	1:0.9.12-1
libxshmfence1	1.3.3-1
libxslt1.1	1.1.35-1.2+deb13u2
libxss1	1:1.2.3-1+b3
libxt-dev	1:1.2.1-1.2+b2
libxt6t64	1:1.2.1-1.2+b2
libxtables12	1.8.11-2
libxtst6	2:1.2.5-1
libxv1	2:1.0.11-1.1+b3
libxvidcore4	2:1.3.7-1+b2
libxxf86vm1	1:1.1.4-1+b4
libxxhash0	0.8.3-2
libyajl2	2.1.0-5+b2
libyaml-0-2	0.2.5-2
libyuv0	0.0.1904.20250204-1
libz3-4	4.13.3-1
libzbar0t64	0.23.93-8
libzimg2	3.0.5+ds1-1+b2
libzix-0-0	0.6.2-1
libzmq5	4.3.5-1+b3
libzstd1	1.5.7+dfsg-1
libzvbi-common	0.2.44-1
libzvbi0t64	0.2.44-1
libzxing3	2.3.0-4
lightdm	1.32.0-6+rpt2
lightdm-gtk-greeter	2.0.9-1+b2
linux-base	4.12
linux-headers-6.12.47+rpt-common-rpi	1:6.12.47-1+rpt1
linux-headers-6.12.47+rpt-rpi-2712	1:6.12.47-1+rpt1
linux-headers-6.12.47+rpt-rpi-v8	1:6.12.47-1+rpt1
linux-headers-6.12.62+rpt-common-rpi	1:6.12.62-1+rpt1
linux-headers-6.12.62+rpt-rpi-2712	1:6.12.62-1+rpt1
linux-headers-6.12.62+rpt-rpi-v8	1:6.12.62-1+rpt1
linux-headers-rpi-2712	1:6.12.62-1+rpt1
linux-headers-rpi-v8	1:6.12.62-1+rpt1
linux-image-6.12.47+rpt-rpi-2712	1:6.12.47-1+rpt1
linux-image-6.12.47+rpt-rpi-v8	1:6.12.47-1+rpt1
linux-image-6.12.62+rpt-rpi-2712	1:6.12.62-1+rpt1
linux-image-6.12.62+rpt-rpi-v8	1:6.12.62-1+rpt1
linux-image-rpi-2712	1:6.12.62-1+rpt1
linux-image-rpi-v8	1:6.12.62-1+rpt1
linux-kbuild-6.12.47+rpt	1:6.12.47-1+rpt1
linux-kbuild-6.12.62+rpt	1:6.12.62-1+rpt1
linux-libc-dev	1:6.12.62-1+rpt1
linux-sysctl-defaults	4.12
locales	2.41-12+rpt1+deb13u1
login	1:4.16.0-2+really2.41-5
login.defs	1:4.17.4-2
logmein-hamachi	2.1.0.203-1
logrotate	3.22.0-1+b2
logsave	1.47.2-3+b7
lp-connection-editor	0.6
lpplug-batt	1.1
lpplug-bluetooth	1.6
lpplug-clock	1.3
lpplug-cpu	1.1
lpplug-cputemp	1.1
lpplug-ejecter	1.6
lpplug-gpu	1.1
lpplug-magnifier	1.0
lpplug-menu	1.10
lpplug-netman	1.8
lpplug-power	1.4
lpplug-updater	1.3
lpplug-volumepulse	1.7
lsb-release	12.1-1
lsof	4.99.4+dfsg-2
lua5.1	5.1.5-11
luajit	2.1.0+openresty20250117-2
lxmenu-data	0.1.6-3+rpt1
lxpanel-pi	1.5
lxpolkit	0.5.6-2+rpt2
lxsession	0.5.6-2+rpt2
lxsession-data	0.5.6-2+rpt2
lxsession-logout	0.5.6-2+rpt2
lxtask	0.1.12-1+rpt1
lxterminal	0.4.1-1+rpt1
lynx	2.9.2-1+b1
lynx-common	2.9.2-1
mailcap	3.74
make	4.4.1-2
man-db	2.13.1-1
manpages	6.9.1-1
manpages-dev	6.9.1-1
mate-desktop-common	1.26.2-1.2
mate-polkit	1.26.1-4+b2
mate-polkit-bin	1.26.1-4
mate-polkit-common	1.26.1-4
mawk	1.3.4.20250131-1
media-types	13.0.0
mesa-libgallium	25.0.7-2+rpt3
mesa-va-drivers	25.0.7-2+rpt3
mesa-vdpau-drivers	25.0.7-2+rpt3
mesa-vulkan-drivers	25.0.7-2+rpt3
meson	1.7.0-1
mkvtoolnix	92.0-1
modemmanager	1.24.0-1+deb13u1
mount	2.41-5
mousepad	0.6.3-1
mypy	1.15.0-5
nano	8.4-1
ncdu	1.22-1
ncurses-base	6.5+20250216-2
ncurses-bin	6.5+20250216-2
ncurses-term	6.5+20250216-2
net-tools	2.10-1.3
netbase	6.5
netcat-openbsd	1.229-1
netplan-generator	1.1.2-7+rpt1
netplan.io	1.1.2-7+rpt1
network-manager	1.52.1-1+rpt4
network-manager-l10n	1.52.1-1+rpt4
nfs-common	1:2.8.3-1
nftables	1.1.3-1
ninja-build	1.12.1-1+b1
notification-daemon	3.20.0-5
ntfs-3g	1:2022.10.3-5
ocl-icd-libopencl1	2.3.3-1
openbox	3.6.1-12+rpt1
openocd	0.12.0+rpt20250716.04ae2c329-1
openssh-client	1:10.0p1-7
openssh-server	1:10.0p1-7
openssh-sftp-server	1:10.0p1-7
openssl	3.5.4-1~deb13u2+rpt1
openssl-provider-legacy	3.5.4-1~deb13u2+rpt1
p11-kit	0.25.5-3
p11-kit-modules	0.25.5-3
p7zip-full	16.02+transitional.1
packagekit	1.3.1-1
pahole	1.30-1
parted	3.6-5
passwd	1:4.17.4-2
pastebinit	1.7.1-1+~rpt2
patch	2.8-2
pci.ids	0.0~2025.06.09-1
pciutils	1:3.13.0-2
pcmanfm	1.4.0-1+rpt8
perl	5.40.1-6
perl-base	5.40.1-6
perl-modules-5.40	5.40.1-6
pi-greeter	1.0
pi-language-support	0.1
pi-package	0.19
pi-package-data	0.19
pi-package-session	0.19
pi-printer-support	1.1
piclone	1.2
pinentry-curses	1.3.1-2
pinentry-gnome3	1.3.1-2
pipanel	1:2.8
pipewire	1.4.2-1+rpt2
pipewire-bin	1.4.2-1+rpt2
pipewire-libcamera	1.4.2-1+rpt3
pipewire-pulse	1.4.2-1+rpt2
pishutdown	0.35
piwiz	1.6
pixtrix-icons	0.2
pixtrix-theme	0.3
pkexec	126-2
pkg-config	1.8.1-4
pkgconf	1.8.1-4
pkgconf-bin	1.8.1-4
plymouth	24.004.60-5
plymouth-label	24.004.60-5
plymouth-themes	24.004.60-5
pocketsphinx-en-us	0.8+5prealpha+1-15
polkitd	126-2
poppler-data	0.4.12-1
poppler-utils	25.03.0-5+deb13u2
pplug-ejecter-data	1.6
pplug-netman-schema	1.8
pplug-power-data	1.4
pplug-updater-data	1.3
ppp	2.5.2-1+1
pprompt	0.24
printer-driver-escpr	1.7.17-4+b1
printer-driver-hpcups	3.22.10+dfsg0-8.1
printer-driver-postscript-hp	3.22.10+dfsg0-8.1
procps	2:4.0.4-9
psmisc	23.7-2
publicsuffix	20250328.1952-0.1
pylint	3.3.4-1
python-apt-common	3.0.0
python-babel-localedata	2.17.0-1
python-is-python3	3.13.3-1
python3	3.13.5-1
python3-apt	3.0.0
python3-arrow	1.3.0-1.1
python3-asgiref	3.8.1-1
python3-astroid	3.3.8-2
python3-asttokens	3.0.0-1
python3-attr	25.3.0-1
python3-autocommand	2.2.2-3
python3-av	14.2.0-1
python3-babel	2.17.0-1
python3-bcrypt	4.2.0-2.1+b1
python3-blinker	1.9.0-1
python3-bs4	4.13.4-2
python3-cairo	1.27.0-2
python3-certifi	2025.1.31+ds-1
python3-cffi-backend	1.17.1-3
python3-chardet	5.2.0+dfsg-2
python3-charset-normalizer	3.4.2-1
python3-click	8.2.0+0.really.8.1.8-1
python3-colorzero	2.0-4
python3-configobj	5.0.9-1
python3-cryptography	43.0.0-3
python3-cssselect	1.3.0-1
python3-cups	2.0.4-2+b2
python3-cupshelpers	1.5.18-4
python3-dateutil	2.9.0-4
python3-dbus	1.4.0-1
python3-debconf	1.5.91
python3-dev	3.13.5-1
python3-dill	0.4.0-1
python3-distro	1.9.0-1
python3-docutils	0.21.2+dfsg-2
python3-dotenv	1.0.1-1
python3-flask	3.1.1-1
python3-fqdn	1.5.1-2
python3-freetype	2.5.1-1
python3-gi	3.50.0-4+b1
python3-gi-cairo	3.50.0-4+b1
python3-gpiozero	2.0.1-0+rpt1+trixie
python3-html5lib	1.2-2
python3-idna	3.10-1
python3-inflect	7.3.1-2
python3-isoduration	20.11.0+git20211126.ae0bd61-2
python3-isort	6.0.1-1
python3-itsdangerous	2.2.0-2
python3-jaraco.context	6.0.1-1
python3-jaraco.functools	4.1.0-1
python3-jaraco.text	4.0.0-1
python3-jedi	0.19.1+ds1-1
python3-jinja2	3.1.6-1
python3-json-pointer	2.4-3
python3-jsonpatch	1.32-5
python3-jsonschema	4.19.2-6
python3-jsonschema-specifications	2023.12.1-2
python3-jwt	2.10.1-2
python3-kms++	0~git20250807.1813ada-1
python3-lgpio	0.2.2-1~rpt1+trixie
python3-libarchive-c	5.1-1
python3-libcamera	0.6.0+rpt20251202-1
python3-libevdev	0.11-2
python3-libgpiod	2.2.1-2+deb13u1
python3-linkify-it	2.0.3-1
python3-logilab-common	2.1.0-1
python3-lxml	5.4.0-1
python3-markdown-it	3.0.0-3
python3-markupsafe	2.1.5-1+b4
python3-mccabe	0.7.0-1
python3-mdurl	0.1.2-1
python3-minimal	3.13.5-1
python3-more-itertools	10.7.0-1
python3-mypy	1.15.0-5
python3-mypy-extensions	1.0.0-1
python3-netplan	1.1.2-7+rpt1
python3-numpy	1:2.2.4+ds-1
python3-numpy-dev	1:2.2.4+ds-1
python3-oauthlib	3.2.2-3
python3-olefile	0.47-1
python3-openexr	1.3.10-1
python3-opengl	3.1.9+dfsg-2
python3-openssl	25.0.0-1
python3-orjson	3.10.7-2+b1
python3-packaging	25.0-1
python3-parso	0.8.4-1
python3-pexpect	4.9-3
python3-pgzero	1.2.post6+really1.2.1+dfsg-2
python3-picamera2	0.3.34-1
python3-pidng	4.0.9+git20251223.99f6c09-1
python3-piexif	1.1.3-2
python3-pil	11.1.0-5+b1
python3-pip	25.1.1+dfsg-1+rpt1
python3-pip-whl	25.1.1+dfsg-1+rpt1
python3-pkg-resources	78.1.1-0.1
python3-platformdirs	4.3.7-1
python3-prctl	1.8.1-1+b7
python3-psutil	7.0.0-2
python3-ptyprocess	0.7.0-6
python3-pyasyncore	1.0.2-3
python3-pycryptodome	3.20.0+dfsg-3
python3-pygame	2.6.1-1+b2
python3-pygments	2.18.0+dfsg-2
python3-pyinotify	0.9.6-5
python3-pyqt5	5.15.11+dfsg-2
python3-pyqt5.sip	12.17.0-1+b1
python3-pyudev	0.24.3-1
python3-referencing	0.36.2-1
python3-reportlab	4.3.1-1
python3-requests	2.32.3+dfsg-5
python3-rfc3339-validator	0.1.4-2
python3-rfc3986-validator	0.1.1-2
python3-rfc3987	1.3.8-3
python3-rich	13.9.4-1
python3-rlpycairo	0.3.0-3
python3-roman	5.0-1
python3-rpds-py	0.21.0-2+b1
python3-rpi-lgpio	0.6-0~rpt1+trixie
python3-rtimulib	7.2.1-7
python3-send2trash	1.8.3-1
python3-sense-hat	2.6.0-1
python3-serial	3.5-2
python3-setuptools	78.1.1-0.1
python3-setuptools-whl	78.1.1-0.1
python3-simplejpeg	1.8.1-1+trixie
python3-smbc	1.0.25.1-1+b5
python3-smbus	4.4-2
python3-smbus2	0.4.3-1
python3-soupsieve	2.7-1
python3-spidev	3.6-1+b6
python3-tk	3.13.5-1
python3-tomlkit	0.13.2-1
python3-tqdm	4.67.1-5
python3-typeguard	4.4.2-1
python3-typeshed	0.0~git20241223.ea91db2-1
python3-typing-extensions	4.13.2-1
python3-uc-micro	1.0.3-1
python3-uritemplate	4.1.1-3
python3-urllib3	2.3.0-3+deb13u1
python3-venv	3.13.5-1
python3-videodev2	0.0.4-1
python3-webcolors	1.13-1
python3-webencodings	0.5.1-5
python3-werkzeug	3.1.3-2
python3-wheel	0.46.1-2
python3-yaml	6.0.2-1+b2
python3-zipp	3.21.0-1
python3.13	3.13.5-2
python3.13-dev	3.13.5-2
python3.13-minimal	3.13.5-2
python3.13-tk	3.13.5-2
python3.13-venv	3.13.5-2
qt5-gtk2-platformtheme	5.0.0+git23.g335dbec-6+rpt1
qt5-style-plugin-cleanlooks	5.0.0+git23.g335dbec-6+rpt1
qt5-style-plugin-motif	5.0.0+git23.g335dbec-6+rpt1
qt5-style-plugin-plastique	5.0.0+git23.g335dbec-6+rpt1
qt5-style-plugins	5.0.0+git23.g335dbec-6+rpt1
qt5ct	1.8-2+b1
qt6ct	0.10-2+b1
qtwayland5	5.15.15-3
raindrop	1.15
raspberrypi-archive-keyring	2025.1+rpt1
raspberrypi-net-mods	1.4.4
raspberrypi-sys-mods	1:20251028+1
raspi-config	20251202
raspi-config-core	20251202
raspi-firmware	1:1.20250915-1
raspi-utils	20251120-1
raspi-utils-core	20251120-1
raspi-utils-dt	20251120-1
raspi-utils-eeprom	20251120-1
raspi-utils-otp	20251120-1
raspinfo	20251120-1
rasputin	1.5
rc-gui	2.10
read-edid	3.0.2-1.1+b1
readline-common	8.2-6
realvnc-vnc-server	7.13.1.57
retry	1.0.5-3+b1
rfkill	2.41-5
rp-bookshelf	1.8
rp-prefapps	1.10
rpcbind	1.2.7-1
rpcc	0.12
rpcsvc-proto	1.4.3-1+b1
rpd-applications	1.14
rpd-common	1.14
rpd-developer	1.14
rpd-graphics	1.14
rpd-plym-splash	0.46
rpd-preferences	1.14
rpd-theme	1.14
rpd-utilities	1.14
rpd-wallpaper	0.5
rpd-wallpaper-trixie	0.1
rpd-wayland-core	1.14
rpd-wayland-extras	1.14
rpd-x-core	1.14
rpd-x-extras	1.14
rpi-chromium-mods	20251015
rpi-cloud-init-mods	1:20251114
rpi-connect	2.7.0
rpi-connect-lite	2.6.1
rpi-eeprom	28.12-1
rpi-firefox-mods	20251016
rpi-imager	2.0.6
rpi-keyboard-config	1.0
rpi-keyboard-fw-update	1.0.1
rpi-loop-utils	1.2.1
rpi-swap	1.2.1
rpi-systemd-config	1.1.1
rpi-update	20230904
rpi-usb-gadget	1.0.6
rpi-userguide	1.4
rpicam-apps	1.10.1-1
rpicam-apps-core	1.10.1-1
rpicam-apps-encoder	1.10.1-1
rpicam-apps-lite	1.11.1-1
